FIPS_master,State_master,DB:2009:percent,DB:2010:percent,TOT_POP,TOT_MALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,H_MALE,H_FEMALE,AgeGrp01:0-4:2010,AgeGrp02:5-9:2010,AgeGrp03:10-14:2010,AgeGrp04:15-19:2010,AgeGrp05:20-24:2010,AgeGrp06:25-29:2010,AgeGrp07:30-34:2010,AgeGrp08:35-39:2010,AgeGrp09:40-44:2010,AgeGrp10:45-49:2010,AgeGrp11:50-54:2010,AgeGrp12:55-59:2010,AgeGrp13:60-64:2010,AgeGrp14:65-69:2010,AgeGrp15:70-74:2010,AgeGrp16:75-79:2010,AgeGrp17:80-84:2010,AgeGrp18:85+:2010,UnemploymentRate:2010,PCT_LACCESS_POP10,FFRPTH09,Poverty_Rate_2010,LI:2009:percent,LI:2010:percent,OB:2009:percent,OB:2010:percent,Rural_percent_2010,Alcohol:Any:2010,Alcohol:Heavy:2010
48267,Texas,10.8,11.8,4607.0,2281.0,2232.0,2292.0,15.0,6.0,31.0,20.0,11.0,10.0,1.0,5.0,550.0,527.0,235.0,238.0,294.0,256.0,158.0,205.0,213.0,244.0,235.0,324.0,340.0,406.0,408.0,332.0,265.0,189.0,151.0,114.0,6.0,24.972798301899065,0.432619511,15.844677527337648,27.4,28.1,26.9,27.7,44.30214890384198,51.1,5.0
29063,Missouri,8.4,9.8,12892.0,8086.0,6580.0,4743.0,1456.0,24.0,60.0,43.0,27.0,24.0,17.0,3.0,159.0,60.0,595.0,625.0,692.0,664.0,829.0,1006.0,1031.0,1016.0,1037.0,1091.0,1084.0,860.0,591.0,514.0,393.0,305.0,274.0,285.0,8.8,37.77805010517786,0.233918129,8.27202018078621,29.8,28.9,32.0,35.4,62.403040645361465,47.2,7.5
30073,Montana,8.7,9.0,6153.0,2972.0,2541.0,2687.0,19.0,17.0,472.0,528.0,3.0,20.0,3.0,5.0,37.0,50.0,436.0,400.0,438.0,400.0,300.0,314.0,300.0,302.0,331.0,471.0,498.0,431.0,371.0,324.0,228.0,187.0,190.0,232.0,5.9,45.34808339321225,0.491078736,18.12798157591709,29.6,29.8,28.8,29.0,58.101738989111006,54.3,7.6
5029,Arkansas,11.7,12.9,21273.0,10533.0,9237.0,9360.0,1251.0,1330.0,173.0,191.0,64.0,62.0,15.0,7.0,395.0,362.0,1407.0,1399.0,1410.0,1463.0,1141.0,1247.0,1188.0,1263.0,1286.0,1609.0,1570.0,1421.0,1277.0,1096.0,850.0,681.0,511.0,454.0,9.7,21.161408362745874,0.423389942,23.394802216701702,30.1,29.4,33.0,35.7,70.5166173083251,46.9,9.9
8081,Colorado,6.0,6.5,13795.0,7047.0,6905.0,6589.0,52.0,40.0,135.0,145.0,56.0,67.0,16.0,19.0,1059.0,926.0,1080.0,1102.0,980.0,917.0,804.0,946.0,921.0,827.0,846.0,1062.0,1106.0,1040.0,710.0,525.0,329.0,259.0,178.0,163.0,9.9,23.403418602396446,0.437062937,12.045301132528314,26.1,25.8,23.8,24.1,27.35773831098224,63.3,11.8
29033,Missouri,9.6,10.8,9295.0,4536.0,4435.0,4656.0,113.0,97.0,26.0,24.0,4.0,16.0,9.0,10.0,70.0,48.0,529.0,583.0,647.0,643.0,434.0,480.0,510.0,566.0,563.0,661.0,655.0,648.0,597.0,499.0,394.0,351.0,263.0,272.0,11.5,21.994360074338893,0.429461026,13.102690829214717,27.2,28.5,31.4,31.6,64.54007530930608,47.8,6.0
42059,Pennsylvania,10.1,9.3,38686.0,19929.0,18621.0,18543.0,1262.0,175.0,149.0,125.0,107.0,87.0,15.0,10.0,345.0,120.0,1948.0,2108.0,2188.0,2720.0,2575.0,2262.0,2349.0,2596.0,2658.0,2836.0,3053.0,2950.0,2512.0,1799.0,1253.0,1093.0,935.0,851.0,8.4,15.619082747463448,0.566105707,14.852808694894074,34.4,35.1,28.2,30.7,66.83296282893036,52.8,7.3
5061,Arkansas,12.8,12.7,13789.0,6656.0,5237.0,5445.0,1352.0,1600.0,83.0,101.0,51.0,59.0,10.0,15.0,675.0,674.0,1027.0,998.0,998.0,950.0,798.0,786.0,822.0,798.0,881.0,1060.0,912.0,828.0,827.0,614.0,530.0,381.0,294.0,285.0,7.8,14.70633791626862,0.582199258,23.680529996319468,33.6,33.1,34.6,35.7,67.51758648197838,36.8,5.4
17201,Illinois,9.9,10.6,295266.0,144327.0,122326.0,127068.0,19697.0,21321.0,1725.0,1792.0,4067.0,4366.0,147.0,155.0,16531.0,15646.0,19656.0,20109.0,20973.0,20576.0,17446.0,18665.0,17936.0,19134.0,19620.0,22210.0,21929.0,19667.0,16630.0,12484.0,9014.0,7319.0,5924.0,5974.0,14.0,24.6852141169646,0.683328146,17.037039596673036,26.8,26.4,28.8,29.1,7.91421972052319,60.3,8.7
45043,South Carolina,13.2,13.4,60158.0,28648.0,19094.0,20160.0,9440.0,11194.0,163.0,184.0,147.0,197.0,15.0,23.0,1080.0,787.0,3351.0,3492.0,3811.0,3705.0,2813.0,2668.0,3161.0,3260.0,3511.0,4065.0,4489.0,4812.0,5100.0,4220.0,3117.0,2061.0,1397.0,1125.0,14.5,23.13088117462216,0.811674866,20.10685693230161,30.2,28.1,35.1,35.1,41.51733767744938,49.3,7.9
